,01_95stain1-120716_S1_merged_R1.fastq.gz.fq.gzAligned.sortedByCoord.out.down_sampled
ENSG00000071082.10,3299
ENSG00000071127.16,73
ENSG00000071189.21,2
ENSG00000071243.15,26
ENSG00000071246.10,1
ENSG00000071462.11,340
ENSG00000071537.13,17
ENSG00000071539.13,52
ENSG00000071553.16,102
ENSG00000071626.16,139
ENSG00000071794.15,32
ENSG00000071859.14,141
ENSG00000071889.16,22
ENSG00000071967.11,44
ENSG00000071994.10,342
ENSG00000072042.12,100
ENSG00000072062.13,15
ENSG00000072071.16,11
ENSG00000072110.13,24
ENSG00000072134.15,14
ENSG00000072135.12,29
ENSG00000072274.12,59
ENSG00000072310.16,21
ENSG00000072401.14,63
ENSG00000072422.16,18
ENSG00000072501.17,38
ENSG00000072506.12,111
ENSG00000072571.19,102
ENSG00000072682.18,5
ENSG00000072694.18,91
ENSG00000072756.16,18
ENSG00000072778.19,108
ENSG00000072803.17,12
ENSG00000072818.11,14
ENSG00000072849.10,52
ENSG00000072858.10,1
ENSG00000072958.8,5
ENSG00000073008.14,1
ENSG00000073050.11,5
ENSG00000073060.15,84
ENSG00000073111.13,12
ENSG00000073169.13,27
ENSG00000073331.17,5
ENSG00000073417.14,1
ENSG00000073578.16,74
ENSG00000073584.18,49
ENSG00000073614.11,75
ENSG00000073792.15,18
ENSG00000073803.13,1
ENSG00000073849.14,40
ENSG00000073921.17,69
ENSG00000074054.17,3
ENSG00000074071.13,101
ENSG00000074201.8,116
ENSG00000074266.17,16
ENSG00000074319.12,240
ENSG00000074356.16,1
ENSG00000074370.17,106
ENSG00000074603.18,1
ENSG00000074621.13,3
ENSG00000074695.5,362
ENSG00000074696.12,80
ENSG00000074755.14,16
ENSG00000074800.13,5958
ENSG00000074803.17,1
ENSG00000074842.7,436
ENSG00000074935.13,17
ENSG00000074964.16,1
ENSG00000075089.9,71
ENSG00000075131.9,86
ENSG00000075142.13,318
ENSG00000075151.19,52
ENSG00000075188.8,74
ENSG00000075218.18,48
ENSG00000075239.13,212
ENSG00000075240.16,27
ENSG00000075292.18,9
ENSG00000075303.12,60
ENSG00000075336.11,86
ENSG00000075340.22,10
ENSG00000075413.17,14
ENSG00000075415.12,187
ENSG00000075420.12,40
ENSG00000075539.13,9
ENSG00000075618.17,56
ENSG00000075624.13,1548
ENSG00000075643.5,9
ENSG00000075651.15,76
ENSG00000075711.20,5
ENSG00000075785.12,80
ENSG00000075790.10,155
ENSG00000075856.11,7
